Itens;Quantidade; Valor Total ;Data
Croissant Frango c/ Catupiry ;4;R$ 3,66;10/03/2023
Croissant Frango c/ Catupiry ;2;R$ 1,83;17/01/2023
Croissant Frango c/ Catupiry ;3;R$ 2,74;27/01/2023
Croissant Frango c/ Catupiry ;9;R$ 8,23;17/03/2023
Croissant Frango c/ Catupiry ;5;R$ 4,57;25/01/2023
Croissant Frango c/ Catupiry ;8;R$ 7,32;19/01/2023
Croissant Frango c/ Catupiry ;1;R$ 0,91;22/02/2023
Croissant Frango c/ Catupiry ;2;R$ 1,83;28/03/2023
Croissant Frango c/ Catupiry ;6;R$ 5,49;15/03/2023
Croissant Frango c/ Catupiry ;8;R$ 7,32;01/03/2023
Croissant Frango c/ Catupiry ;4;R$ 3,66;01/04/2023
Croissant Frango c/ Catupiry ;9;R$ 8,23;10/01/2023
Croissant Frango c/ Catupiry ;1;R$ 0,91;11/02/2023
Croissant Frango c/ Catupiry ;1;R$ 0,91;27/03/2023
Croissant Frango c/ Catupiry ;5;R$ 4,57;01/02/2023
Croissant Frango c/ Catupiry ;7;R$ 6,40;20/03/2023
Croissant Frango c/ Catupiry ;10;R$ 9,14;26/01/2023
Croissant Frango c/ Catupiry ;1;R$ 0,91;16/03/2023
Croissant Frango c/ Catupiry ;5;R$ 4,57;08/01/2023
Croissant Frango c/ Catupiry ;3;R$ 2,74;13/03/2023
Croissant Frango c/ Catupiry ;3;R$ 2,74;19/01/2023
Croissant Frango c/ Catupiry ;3;R$ 2,74;17/03/2023
Croissant Frango c/ Catupiry ;2;R$ 1,83;07/02/2023
Croissant Frango c/ Catupiry ;9;R$ 8,23;05/02/2023
Croissant Frango c/ Catupiry ;4;R$ 3,66;06/02/2023
Croissant Frango c/ Catupiry ;6;R$ 5,49;04/03/2023
Croissant Frango c/ Catupiry ;1;R$ 0,91;07/03/2023
Croissant Frango c/ Catupiry ;5;R$ 4,57;24/02/2023
Croissant Frango c/ Catupiry ;9;R$ 8,23;02/01/2023
Croissant Frango c/ Catupiry ;6;R$ 5,49;19/01/2023
Croissant Frango c/ Catupiry ;9;R$ 8,23;19/02/2023
Croissant Frango c/ Catupiry ;10;R$ 9,14;01/02/2023
Croissant Frango c/ Catupiry ;10;R$ 9,14;21/03/2023
Croissant Frango c/ Catupiry ;3;R$ 2,74;20/02/2023
Croissant Frango c/ Catupiry ;9;R$ 8,23;20/03/2023
Croissant Frango c/ Catupiry ;4;R$ 3,66;10/02/2023
Croissant Frango c/ Catupiry ;6;R$ 5,49;07/02/2023
Croissant Frango c/ Catupiry ;6;R$ 5,49;30/03/2023
Croissant Frango c/ Catupiry ;4;R$ 3,66;07/01/2023
Croissant Frango c/ Catupiry ;2;R$ 1,83;17/02/2023
Croissant Frango c/ Catupiry ;1;R$ 0,91;25/02/2023
Croissant Frango c/ Catupiry ;4;R$ 3,66;30/01/2023
Croissant Frango c/ Catupiry ;5;R$ 4,57;23/03/2023
Croissant Frango c/ Catupiry ;4;R$ 3,66;23/03/2023
Croissant Frango c/ Catupiry ;4;R$ 3,66;23/01/2023
Croissant Frango c/ Catupiry ;5;R$ 4,57;07/02/2023
Croissant Frango c/ Catupiry ;2;R$ 1,83;28/02/2023
Croissant Frango c/ Catupiry ;2;R$ 1,83;06/02/2023
Croissant Frango c/ Catupiry ;10;R$ 9,14;09/03/2023
Croissant Frango c/ Catupiry ;1;R$ 0,91;25/03/2023
Croissant Frango c/ Catupiry ;2;R$ 1,83;29/03/2023
Croissant Frango c/ Catupiry ;7;R$ 6,40;19/01/2023
Croissant Frango c/ Catupiry ;7;R$ 6,40;09/01/2023
Croissant Frango c/ Catupiry ;6;R$ 5,49;09/02/2023
Croissant Frango c/ Catupiry ;7;R$ 6,40;20/01/2023
Croissant Frango c/ Catupiry ;10;R$ 9,14;25/03/2023
Croissant Frango c/ Catupiry ;7;R$ 6,40;19/02/2023
Croissant Frango c/ Catupiry ;5;R$ 4,57;02/03/2023
Croissant Frango c/ Catupiry ;6;R$ 5,49;14/03/2023
Croissant Frango c/ Catupiry ;6;R$ 5,49;21/03/2023
Croissant Frango c/ Catupiry ;6;R$ 5,49;11/02/2023
Croissant Frango c/ Catupiry ;4;R$ 3,66;10/02/2023
Croissant Frango c/ Catupiry ;7;R$ 6,40;10/01/2023
Croissant Frango c/ Catupiry ;10;R$ 9,14;05/03/2023
Torta 125g;10;R$ 9,14;14/03/2023
Torta 125g;2;R$ 1,83;11/02/2023
Torta 125g;10;R$ 9,14;29/03/2023
Torta 125g;8;R$ 7,32;04/01/2023
Torta 125g;3;R$ 2,74;24/03/2023
Torta 125g;7;R$ 6,40;25/02/2023
Torta 125g;7;R$ 6,40;18/03/2023
Torta 125g;3;R$ 2,74;07/01/2023
Torta 125g;1;R$ 0,91;15/02/2023
Torta 125g;5;R$ 4,57;04/02/2023
Torta 125g;6;R$ 5,49;02/01/2023
Torta 125g;7;R$ 6,40;03/03/2023
Torta 125g;6;R$ 5,49;05/01/2023
Torta 125g;7;R$ 6,40;11/03/2023
Torta 125g;10;R$ 9,14;31/03/2023
Torta 125g;8;R$ 7,32;25/01/2023
Torta 125g;8;R$ 7,32;12/01/2023
Torta 125g;2;R$ 1,83;21/01/2023
Torta 125g;5;R$ 4,57;25/01/2023
Torta 125g;7;R$ 6,40;15/01/2023
Torta 125g;3;R$ 2,74;26/01/2023
Torta 125g;5;R$ 4,57;11/01/2023
Torta 125g;4;R$ 3,66;11/03/2023
Torta 125g;1;R$ 0,91;04/01/2023
Torta 125g;5;R$ 4,57;10/02/2023
Torta 125g;3;R$ 2,74;21/02/2023
Torta 125g;6;R$ 5,49;16/01/2023
Torta 125g;5;R$ 4,57;20/01/2023
Torta 125g;2;R$ 1,83;28/03/2023
Torta 125g;10;R$ 9,14;01/04/2023
Torta 125g;6;R$ 5,49;09/03/2023
Torta 125g;7;R$ 6,40;12/01/2023
Torta 125g;2;R$ 1,83;24/03/2023
Torta 125g;10;R$ 9,14;29/01/2023
Torta 125g;1;R$ 0,91;10/02/2023
Torta 125g;2;R$ 1,83;25/02/2023
Torta 125g;7;R$ 6,40;24/03/2023
Torta 125g;7;R$ 6,40;14/02/2023
Torta 125g;10;R$ 9,14;07/01/2023
Torta 125g;6;R$ 5,49;26/01/2023
Torta 125g;10;R$ 9,14;17/01/2023
Torta 125g;4;R$ 3,66;13/02/2023
Torta 125g;9;R$ 8,23;22/02/2023
Torta 125g;10;R$ 9,14;01/04/2023
Torta 125g;2;R$ 1,83;03/03/2023
Torta 125g;1;R$ 0,91;12/03/2023
Torta 125g;8;R$ 7,32;28/03/2023
Torta 125g;2;R$ 1,83;30/01/2023
Torta 125g;1;R$ 0,91;10/01/2023
Torta 125g;5;R$ 4,57;26/03/2023
Torta 125g;4;R$ 3,66;16/02/2023
Torta 125g;9;R$ 8,23;31/03/2023
Torta 125g;5;R$ 4,57;02/01/2023
Torta 125g;5;R$ 4,57;25/02/2023
Torta 125g;1;R$ 0,91;18/03/2023
Torta 125g;9;R$ 8,23;10/02/2023
Torta 125g;8;R$ 7,32;02/03/2023
Torta 125g;5;R$ 4,57;27/02/2023
Torta 125g;4;R$ 3,66;09/01/2023
Torta 125g;8;R$ 7,32;26/02/2023
Torta 125g;4;R$ 3,66;11/03/2023
Torta 125g;6;R$ 5,49;26/02/2023
Torta 125g;10;R$ 9,14;09/03/2023
Torta 125g;6;R$ 5,49;12/02/2023
Torta 125g;5;R$ 4,57;07/02/2023
Torta 125g;8;R$ 7,32;25/01/2023
Torta 125g;4;R$ 3,66;04/02/2023
Torta 125g;7;R$ 6,40;04/02/2023
Torta 125g;10;R$ 9,14;25/01/2023
Torta 125g;7;R$ 6,40;23/02/2023
Torta 125g;1;R$ 0,91;28/01/2023
Torta 125g;8;R$ 7,32;08/02/2023
Torta 125g;6;R$ 5,49;18/03/2023
Torta 125g;6;R$ 5,49;10/03/2023
Torta 125g;5;R$ 4,57;01/01/2023
Torta 125g;10;R$ 9,14;01/03/2023
Torta 125g;5;R$ 4,57;23/02/2023
Torta 125g;7;R$ 6,40;09/03/2023
Torta 125g;10;R$ 9,14;26/01/2023
Torta 125g;6;R$ 5,49;21/01/2023
Torta 125g;10;R$ 9,14;16/01/2023
Torta 125g;8;R$ 7,32;20/01/2023
Torta 125g;4;R$ 3,66;25/01/2023
Torta 125g;6;R$ 5,49;19/02/2023
Torta 125g;4;R$ 3,66;21/02/2023
Torta 125g;6;R$ 5,49;06/03/2023
Torta 125g;5;R$ 4,57;14/01/2023
Torta 125g;5;R$ 4,57;13/01/2023
Torta 125g;6;R$ 5,49;25/01/2023
Torta 125g;6;R$ 5,49;05/03/2023
JARRA Laranja FRUTA;2;R$ 1,83;13/03/2023
JARRA Laranja FRUTA;6;R$ 5,49;25/01/2023
JARRA Laranja FRUTA;9;R$ 8,23;08/02/2023
JARRA Laranja FRUTA;9;R$ 8,23;21/02/2023
JARRA Laranja FRUTA;7;R$ 6,40;09/03/2023
JARRA Laranja FRUTA;7;R$ 6,40;21/02/2023
JARRA Laranja FRUTA;3;R$ 2,74;23/01/2023
JARRA Laranja FRUTA;9;R$ 8,23;06/02/2023
JARRA Laranja FRUTA;5;R$ 4,57;06/01/2023
JARRA Laranja FRUTA;10;R$ 9,14;07/01/2023
JARRA Laranja FRUTA;5;R$ 4,57;07/02/2023
JARRA Laranja FRUTA;7;R$ 6,40;28/02/2023
JARRA Laranja FRUTA;9;R$ 8,23;25/01/2023
JARRA Laranja FRUTA;3;R$ 2,74;07/01/2023
JARRA Laranja FRUTA;3;R$ 2,74;26/03/2023
JARRA Laranja FRUTA;1;R$ 0,91;20/01/2023
JARRA Laranja FRUTA;1;R$ 0,91;13/03/2023
JARRA Laranja FRUTA;4;R$ 3,66;14/02/2023
JARRA Laranja FRUTA;6;R$ 5,49;21/02/2023
JARRA Laranja FRUTA;10;R$ 9,14;17/01/2023
JARRA Laranja FRUTA;4;R$ 3,66;31/03/2023
JARRA Laranja FRUTA;5;R$ 4,57;11/02/2023
JARRA Laranja FRUTA;8;R$ 7,32;23/02/2023
JARRA Laranja FRUTA;9;R$ 8,23;22/02/2023
JARRA Laranja FRUTA;2;R$ 1,83;20/01/2023
JARRA Laranja FRUTA;3;R$ 2,74;01/02/2023
JARRA Laranja FRUTA;4;R$ 3,66;15/02/2023
JARRA Laranja FRUTA;6;R$ 5,49;13/01/2023
JARRA Laranja FRUTA;8;R$ 7,32;28/02/2023
JARRA Laranja FRUTA;8;R$ 7,32;06/01/2023
JARRA Laranja FRUTA;3;R$ 2,74;05/01/2023
JARRA Laranja FRUTA;8;R$ 7,32;20/03/2023
JARRA Laranja FRUTA;10;R$ 9,14;27/02/2023
JARRA Laranja FRUTA;9;R$ 8,23;09/02/2023
JARRA Laranja FRUTA;3;R$ 2,74;30/03/2023
JARRA Laranja FRUTA;5;R$ 4,57;05/03/2023
JARRA Laranja FRUTA;10;R$ 9,14;27/03/2023
JARRA Laranja FRUTA;8;R$ 7,32;19/01/2023
JARRA Laranja FRUTA;8;R$ 7,32;13/02/2023
JARRA Laranja FRUTA;6;R$ 5,49;17/01/2023
JARRA Laranja FRUTA;4;R$ 3,66;06/02/2023
JARRA Laranja FRUTA;6;R$ 5,49;17/03/2023
JARRA Laranja FRUTA;5;R$ 4,57;19/02/2023
JARRA Laranja FRUTA;4;R$ 3,66;06/02/2023
JARRA Laranja FRUTA;2;R$ 1,83;19/03/2023
JARRA Laranja FRUTA;3;R$ 2,74;21/03/2023
JARRA Laranja FRUTA;3;R$ 2,74;21/03/2023
JARRA Laranja FRUTA;1;R$ 0,91;31/01/2023
JARRA Laranja FRUTA;5;R$ 4,57;25/03/2023
JARRA Laranja FRUTA;2;R$ 1,83;22/03/2023
JARRA Laranja FRUTA;8;R$ 7,32;02/03/2023
JARRA Laranja FRUTA;8;R$ 7,32;21/03/2023
JARRA Laranja FRUTA;9;R$ 8,23;22/01/2023
JARRA Laranja FRUTA;7;R$ 6,40;08/02/2023
JARRA Laranja FRUTA;7;R$ 6,40;17/01/2023
JARRA Laranja FRUTA;7;R$ 6,40;22/02/2023
JARRA Laranja FRUTA;7;R$ 6,40;06/03/2023
JARRA Laranja FRUTA;4;R$ 3,66;21/02/2023
JARRA Laranja FRUTA;10;R$ 9,14;17/01/2023
JARRA Laranja FRUTA;6;R$ 5,49;01/02/2023
JARRA Laranja FRUTA;7;R$ 6,40;09/02/2023
JARRA Laranja FRUTA;3;R$ 2,74;01/01/2023
JARRA Laranja FRUTA;4;R$ 3,66;09/03/2023
JARRA Laranja FRUTA;10;R$ 9,14;26/02/2023
JARRA Laranja FRUTA;7;R$ 6,40;17/01/2023
JARRA Laranja FRUTA;9;R$ 8,23;16/02/2023
JARRA Laranja FRUTA;1;R$ 0,91;10/01/2023
JARRA Laranja FRUTA;7;R$ 6,40;24/01/2023
JARRA Laranja FRUTA;6;R$ 5,49;05/03/2023
JARRA Laranja FRUTA;6;R$ 5,49;05/01/2023
JARRA Laranja FRUTA;5;R$ 4,57;18/02/2023
JARRA Laranja FRUTA;3;R$ 2,74;08/01/2023
JARRA Laranja FRUTA;3;R$ 2,74;15/01/2023
JARRA Laranja FRUTA;10;R$ 9,14;15/02/2023
JARRA Laranja FRUTA;8;R$ 7,32;08/01/2023
JARRA Laranja FRUTA;5;R$ 4,57;28/03/2023
JARRA Laranja FRUTA;6;R$ 5,49;31/03/2023
JARRA Laranja FRUTA;7;R$ 6,40;02/03/2023
JARRA Laranja FRUTA;9;R$ 8,23;07/01/2023
JARRA Laranja FRUTA;2;R$ 1,83;05/01/2023
JARRA Laranja FRUTA;2;R$ 1,83;27/01/2023
JARRA Laranja FRUTA;3;R$ 2,74;22/02/2023
JARRA Laranja FRUTA;10;R$ 9,14;09/01/2023
JARRA Laranja FRUTA;8;R$ 7,32;09/02/2023
JARRA Laranja FRUTA;1;R$ 0,91;01/04/2023
JARRA Laranja FRUTA;4;R$ 3,66;23/03/2023
JARRA Laranja FRUTA;4;R$ 3,66;15/03/2023
JARRA Laranja FRUTA;10;R$ 9,14;17/01/2023
JARRA Laranja FRUTA;10;R$ 9,14;09/01/2023
JARRA Laranja FRUTA;8;R$ 7,32;19/02/2023
Maracujá;7;R$ 6,40;25/02/2023
Maracujá;7;R$ 6,40;09/03/2023
Maracujá;6;R$ 5,49;04/02/2023
Maracujá;9;R$ 8,23;26/03/2023
Maracujá;5;R$ 4,57;18/02/2023
Maracujá;7;R$ 6,40;26/03/2023
Maracujá;7;R$ 6,40;18/03/2023
Maracujá;5;R$ 4,57;05/03/2023
Maracujá;6;R$ 5,49;01/04/2023
Maracujá;7;R$ 6,40;01/03/2023
Maracujá;5;R$ 4,57;29/03/2023
Maracujá;4;R$ 3,66;23/02/2023
Maracujá;4;R$ 3,66;20/02/2023
Maracujá;9;R$ 8,23;22/01/2023
Maracujá;3;R$ 2,74;16/02/2023
Maracujá;1;R$ 0,91;13/02/2023
Maracujá;2;R$ 1,83;27/01/2023
Maracujá;4;R$ 3,66;13/03/2023
Maracujá;3;R$ 2,74;16/03/2023
Maracujá;7;R$ 6,40;11/02/2023
Maracujá;10;R$ 9,14;26/02/2023
Maracujá;8;R$ 7,32;06/03/2023
Maracujá;5;R$ 4,57;20/01/2023
Maracujá;10;R$ 9,14;18/02/2023
Maracujá;8;R$ 7,32;24/02/2023
Maracujá;2;R$ 1,83;21/03/2023
Maracujá;10;R$ 9,14;08/02/2023
Maracujá;4;R$ 3,66;13/03/2023
Maracujá;5;R$ 4,57;05/02/2023
Maracujá;1;R$ 0,91;18/01/2023
Maracujá;8;R$ 7,32;18/01/2023
Maracujá;4;R$ 3,66;13/03/2023
Maracujá;2;R$ 1,83;31/03/2023
Maracujá;10;R$ 9,14;25/01/2023
Maracujá;6;R$ 5,49;25/01/2023
Maracujá;10;R$ 9,14;16/02/2023
Maracujá;10;R$ 9,14;22/01/2023
Maracujá;9;R$ 8,23;20/03/2023
Maracujá;10;R$ 9,14;31/03/2023
Maracujá;1;R$ 0,91;20/01/2023
Maracujá;1;R$ 0,91;03/03/2023
Maracujá;6;R$ 5,49;23/02/2023
Maracujá;7;R$ 6,40;17/01/2023
Maracujá;3;R$ 2,74;01/01/2023
Maracujá;7;R$ 6,40;11/01/2023
Maracujá;3;R$ 2,74;25/02/2023
Maracujá;9;R$ 8,23;22/01/2023
Maracujá;10;R$ 9,14;04/02/2023
Maracujá;5;R$ 4,57;02/03/2023
Maracujá;10;R$ 9,14;27/01/2023
Maracujá;7;R$ 6,40;14/02/2023
Maracujá;6;R$ 5,49;05/01/2023
Maracujá;10;R$ 9,14;06/01/2023
Maracujá;3;R$ 2,74;23/03/2023
Maracujá;4;R$ 3,66;30/03/2023
Maracujá;1;R$ 0,91;28/01/2023
Maracujá;7;R$ 6,40;18/03/2023
Maracujá;1;R$ 0,91;23/01/2023
Maracujá;2;R$ 1,83;24/01/2023
Maracujá;1;R$ 0,91;30/01/2023
Maracujá;10;R$ 9,14;20/03/2023
Maracujá;7;R$ 6,40;10/01/2023
Maracujá;1;R$ 0,91;23/03/2023
Maracujá;10;R$ 9,14;30/03/2023
Maracujá;10;R$ 9,14;10/03/2023
Maracujá;9;R$ 8,23;22/02/2023
Maracujá;4;R$ 3,66;06/01/2023
Maracujá;2;R$ 1,83;29/03/2023
Maracujá;6;R$ 5,49;05/03/2023
Maracujá;8;R$ 7,32;13/01/2023
Maracujá;10;R$ 9,14;07/03/2023
Maracujá;2;R$ 1,83;13/02/2023
Maracujá;10;R$ 9,14;26/01/2023
Maracujá;3;R$ 2,74;02/01/2023
Maracujá;8;R$ 7,32;04/03/2023
Maracujá;8;R$ 7,32;13/01/2023
Maracujá;7;R$ 6,40;06/01/2023
Maracujá;3;R$ 2,74;28/02/2023
Maracujá;1;R$ 0,91;28/02/2023
Maracujá;7;R$ 6,40;01/02/2023
Maracujá;6;R$ 5,49;22/02/2023
Maracujá;3;R$ 2,74;03/02/2023
Maracujá;7;R$ 6,40;24/02/2023
Maracujá;2;R$ 1,83;08/03/2023
Maracujá;9;R$ 8,23;02/02/2023
Maracujá;3;R$ 2,74;19/03/2023
Maracujá;4;R$ 3,66;31/01/2023
Maracujá;3;R$ 2,74;24/02/2023
Maracujá;8;R$ 7,32;27/02/2023
Maracujá;9;R$ 8,23;12/03/2023
Quiché alho poró com bacon;6;R$ 5,49;18/03/2023
Quiché alho poró com bacon;9;R$ 8,23;09/03/2023
Quiché alho poró com bacon;5;R$ 4,57;13/01/2023
Quiché alho poró com bacon;8;R$ 7,32;07/02/2023
Quiché alho poró com bacon;10;R$ 9,14;31/03/2023
Quiché alho poró com bacon;3;R$ 2,74;10/01/2023
Quiché alho poró com bacon;6;R$ 5,49;11/03/2023
Quiché alho poró com bacon;3;R$ 2,74;07/01/2023
Quiché alho poró com bacon;1;R$ 0,91;05/02/2023
Quiché alho poró com bacon;8;R$ 7,32;02/01/2023
Quiché alho poró com bacon;9;R$ 8,23;16/01/2023
Quiché alho poró com bacon;5;R$ 4,57;10/03/2023
Quiché alho poró com bacon;10;R$ 9,14;30/01/2023
Quiché alho poró com bacon;10;R$ 9,14;03/01/2023
Quiché alho poró com bacon;6;R$ 5,49;26/01/2023
Quiché alho poró com bacon;4;R$ 3,66;08/02/2023
Quiché alho poró com bacon;1;R$ 0,91;10/01/2023
Quiché alho poró com bacon;9;R$ 8,23;19/03/2023
Quiché alho poró com bacon;9;R$ 8,23;18/01/2023
Quiché alho poró com bacon;5;R$ 4,57;21/03/2023
Quiché alho poró com bacon;9;R$ 8,23;24/03/2023
Quiché alho poró com bacon;9;R$ 8,23;09/02/2023
Quiché alho poró com bacon;10;R$ 9,14;05/02/2023
Quiché alho poró com bacon;8;R$ 7,32;06/02/2023
Quiché alho poró com bacon;5;R$ 4,57;12/02/2023
Quiché alho poró com bacon;7;R$ 6,40;25/03/2023
Quiché alho poró com bacon;2;R$ 1,83;16/01/2023
Quiché alho poró com bacon;9;R$ 8,23;03/01/2023
Quiché alho poró com bacon;2;R$ 1,83;08/01/2023
Quiché alho poró com bacon;10;R$ 9,14;05/01/2023
Quiché alho poró com bacon;8;R$ 7,32;19/02/2023
Quiché alho poró com bacon;3;R$ 2,74;01/04/2023
Quiché alho poró com bacon;10;R$ 9,14;11/03/2023
Quiché alho poró com bacon;3;R$ 2,74;09/01/2023
Quiché alho poró com bacon;5;R$ 4,57;05/03/2023
Quiché alho poró com bacon;2;R$ 1,83;06/02/2023
Quiché alho poró com bacon;9;R$ 8,23;23/03/2023
Quiché alho poró com bacon;4;R$ 3,66;17/02/2023
Quiché alho poró com bacon;9;R$ 8,23;31/03/2023
Quiché alho poró com bacon;5;R$ 4,57;22/03/2023
Quiché alho poró com bacon;4;R$ 3,66;18/02/2023
Quiché alho poró com bacon;6;R$ 5,49;01/04/2023
Quiché alho poró com bacon;1;R$ 0,91;13/01/2023
Quiché alho poró com bacon;7;R$ 6,40;08/01/2023
Quiché alho poró com bacon;8;R$ 7,32;03/02/2023
Quiché alho poró com bacon;10;R$ 9,14;20/01/2023
Quiché alho poró com bacon;2;R$ 1,83;08/02/2023
Quiché alho poró com bacon;10;R$ 9,14;26/02/2023
Quiché alho poró com bacon;1;R$ 0,91;13/03/2023
Quiché alho poró com bacon;3;R$ 2,74;05/01/2023
Quiché alho poró com bacon;10;R$ 9,14;13/03/2023
Quiché alho poró com bacon;7;R$ 6,40;06/02/2023
Quiché alho poró com bacon;10;R$ 9,14;22/02/2023
Quiché alho poró com bacon;9;R$ 8,23;25/03/2023
Quiché alho poró com bacon;4;R$ 3,66;17/03/2023
Quiché alho poró com bacon;9;R$ 8,23;29/03/2023
Quiché alho poró com bacon;5;R$ 4,57;22/03/2023
Quiché alho poró com bacon;3;R$ 2,74;10/01/2023
Quiché alho poró com bacon;4;R$ 3,66;15/02/2023
Quiché alho poró com bacon;8;R$ 7,32;16/01/2023
Quiché alho poró com bacon;8;R$ 7,32;19/01/2023
Quiché alho poró com bacon;4;R$ 3,66;10/02/2023
Quiché alho poró com bacon;8;R$ 7,32;27/03/2023
Quiché alho poró com bacon;4;R$ 3,66;07/03/2023
Quiché alho poró com bacon;8;R$ 7,32;13/03/2023
Quiché alho poró com bacon;9;R$ 8,23;01/03/2023
Quiché alho poró com bacon;10;R$ 9,14;22/03/2023
Quiché alho poró com bacon;3;R$ 2,74;21/02/2023
Quiché alho poró com bacon;4;R$ 3,66;29/03/2023
Quiché alho poró com bacon;7;R$ 6,40;07/03/2023
Quiché alho poró com bacon;1;R$ 0,91;01/01/2023
Quiché alho poró com bacon;3;R$ 2,74;12/03/2023
Quiché alho poró com bacon;10;R$ 9,14;21/01/2023
Quiché alho poró com bacon;3;R$ 2,74;27/01/2023
Quiché alho poró com bacon;2;R$ 1,83;28/01/2023
Quiché alho poró com bacon;1;R$ 0,91;28/03/2023
Quiché alho poró com bacon;7;R$ 6,40;22/01/2023
Quiché alho poró com bacon;10;R$ 9,14;29/03/2023
Quiché alho poró com bacon;5;R$ 4,57;27/03/2023
Quiché alho poró com bacon;6;R$ 5,49;21/03/2023
Quiché alho poró com bacon;8;R$ 7,32;05/01/2023
Quiché alho poró com bacon;10;R$ 9,14;17/03/2023
Quiché alho poró com bacon;3;R$ 2,74;03/03/2023
Quiché alho poró com bacon;1;R$ 0,91;23/01/2023
Quiché alho poró com bacon;10;R$ 9,14;01/02/2023
Quiché alho poró com bacon;7;R$ 6,40;12/02/2023
Quiché alho poró com bacon;1;R$ 0,91;01/01/2023
Quiché alho poró com bacon;10;R$ 9,14;19/02/2023
Quiché alho poró com bacon;3;R$ 2,74;02/02/2023
Quiché alho poró com bacon;4;R$ 3,66;23/01/2023
Creme Morango;6;R$ 5,49;31/01/2023
Creme Morango;9;R$ 8,23;15/01/2023
Creme Morango;1;R$ 0,91;01/04/2023
Creme Morango;6;R$ 5,49;21/02/2023
Creme Morango;3;R$ 2,74;19/02/2023
Creme Morango;5;R$ 4,57;17/03/2023
Creme Morango;10;R$ 9,14;28/03/2023
Creme Morango;1;R$ 0,91;28/01/2023
Creme Morango;3;R$ 2,74;05/03/2023
Creme Morango;10;R$ 9,14;23/03/2023
Creme Morango;8;R$ 7,32;19/01/2023
Creme Morango;4;R$ 3,66;11/01/2023
Creme Morango;9;R$ 8,23;24/03/2023
Creme Morango;2;R$ 1,83;14/02/2023
Creme Morango;10;R$ 9,14;22/02/2023
Creme Morango;2;R$ 1,83;20/03/2023
Creme Morango;8;R$ 7,32;17/03/2023
Creme Morango;3;R$ 2,74;12/03/2023
Creme Morango;10;R$ 9,14;14/02/2023
Creme Morango;6;R$ 5,49;19/03/2023
Creme Morango;7;R$ 6,40;12/02/2023
Creme Morango;4;R$ 3,66;28/02/2023
Creme Morango;1;R$ 0,91;12/02/2023
Creme Morango;1;R$ 0,91;30/01/2023
Creme Morango;9;R$ 8,23;14/01/2023
Creme Morango;6;R$ 5,49;01/01/2023
Creme Morango;3;R$ 2,74;07/01/2023
Creme Morango;8;R$ 7,32;14/03/2023
Creme Morango;7;R$ 6,40;08/02/2023
Creme Morango;7;R$ 6,40;09/02/2023
Creme Morango;2;R$ 1,83;01/02/2023
Creme Morango;9;R$ 8,23;22/03/2023
Creme Morango;6;R$ 5,49;04/02/2023
Creme Morango;6;R$ 5,49;14/02/2023
Creme Morango;8;R$ 7,32;31/01/2023
Creme Morango;1;R$ 0,91;25/02/2023
Creme Morango;6;R$ 5,49;30/01/2023
Creme Morango;7;R$ 6,40;09/02/2023
Creme Morango;4;R$ 3,66;16/02/2023
Creme Morango;3;R$ 2,74;13/01/2023
Creme Morango;10;R$ 9,14;27/02/2023
Creme Morango;3;R$ 2,74;19/03/2023
Creme Morango;3;R$ 2,74;01/01/2023
Creme Morango;10;R$ 9,14;30/01/2023
Creme Morango;9;R$ 8,23;08/01/2023
Creme Morango;9;R$ 8,23;28/03/2023
Creme Morango;5;R$ 4,57;12/01/2023
Creme Morango;8;R$ 7,32;10/01/2023
Creme Morango;6;R$ 5,49;23/01/2023
Creme Morango;8;R$ 7,32;08/01/2023
Creme Morango;9;R$ 8,23;04/01/2023
Creme Morango;4;R$ 3,66;04/02/2023
Creme Morango;1;R$ 0,91;06/03/2023
Creme Morango;5;R$ 4,57;17/02/2023
Creme Morango;6;R$ 5,49;07/02/2023
Creme Morango;7;R$ 6,40;06/02/2023
Creme Morango;5;R$ 4,57;27/03/2023
Creme Morango;2;R$ 1,83;07/02/2023
Creme Morango;5;R$ 4,57;01/01/2023
Creme Morango;5;R$ 4,57;27/02/2023
Creme Morango;8;R$ 7,32;19/02/2023
Creme Morango;4;R$ 3,66;16/02/2023
Creme Morango;1;R$ 0,91;30/03/2023
Creme Morango;2;R$ 1,83;24/01/2023
Creme Morango;7;R$ 6,40;28/02/2023
Creme Morango;1;R$ 0,91;25/01/2023
Creme Morango;6;R$ 5,49;19/03/2023
Creme Morango;9;R$ 8,23;23/01/2023
Creme Morango;1;R$ 0,91;26/03/2023
Creme Morango;8;R$ 7,32;16/03/2023
Creme Morango;4;R$ 3,66;04/01/2023
Creme Morango;1;R$ 0,91;18/02/2023
Creme Morango;6;R$ 5,49;08/03/2023
Creme Morango;6;R$ 5,49;02/02/2023
Creme Morango;10;R$ 9,14;31/03/2023
Creme Morango;3;R$ 2,74;18/03/2023
Creme Morango;8;R$ 7,32;10/02/2023
Creme Morango;9;R$ 8,23;04/02/2023
Creme Morango;1;R$ 0,91;04/01/2023
Creme Morango;10;R$ 9,14;22/01/2023
Creme Morango;4;R$ 3,66;28/02/2023
Creme Morango;6;R$ 5,49;04/03/2023
Creme Morango;1;R$ 0,91;21/03/2023
Creme Morango;6;R$ 5,49;12/02/2023
Creme Morango;7;R$ 6,40;19/02/2023
Creme Morango;8;R$ 7,32;01/03/2023
